start station id,end station id,tripduration,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
27,12,250,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,302,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,210,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,408,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,217,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,157,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,394,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,228,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,446,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,305,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,297,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,233,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,148,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,179,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,239,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,159,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,167,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,203,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,267,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,231,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,181,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,222,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,363,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,265,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,223,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,274,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,207,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,242,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,199,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,259,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
27,12,240,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563
