Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
10/7/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",251,152,413,199,108,365,294,176,492,261,171,397,246,155,388,237,140,399
10/8/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",262,163,421,215,145,317,301,193,468,284,184,438,256,154,426,229,147,356
10/9/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",319,193,528,341,228,508,387,214,701,351,221,557,293,183,468,223,145,342
10/10/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",310,184,520,334,204,546,418,261,670,329,200,542,268,168,429,225,132,384
10/11/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",357,203,630,272,174,425,571,327,998,410,233,722,284,182,444,206,142,299
10/12/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",313,183,534,302,184,497,403,225,722,363,210,628,293,180,475,233,144,377
10/13/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",275,160,472,264,145,483,274,172,436,316,168,594,292,183,467,222,130,382
10/14/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",260,155,437,210,124,356,285,176,459,259,158,424,265,164,429,254,145,445
10/15/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",296,180,487,281,177,448,407,258,643,287,175,471,273,176,423,243,143,412
10/16/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",307,186,507,282,180,444,445,254,778,298,184,481,280,182,432,247,155,392
10/17/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",296,183,477,249,182,342,393,228,677,305,194,478,280,176,447,232,157,343
10/18/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",311,192,503,281,190,415,460,290,730,297,196,452,286,184,446,243,150,392
10/19/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",317,182,554,270,182,402,429,236,781,335,190,590,309,179,534,227,145,354
10/20/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",266,167,424,260,162,416,277,183,420,299,185,483,266,172,409,235,144,383
10/21/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",252,153,414,208,113,382,280,175,447,265,162,433,255,161,402,229,139,377
10/22/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",307,182,517,296,197,443,436,259,734,313,198,495,274,170,443,198,128,309
10/23/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",341,191,609,304,210,439,552,318,958,336,202,559,295,170,509,215,129,358
10/24/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",309,185,517,272,192,388,427,263,693,313,200,491,293,174,495,246,147,410
10/25/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",307,184,513,337,218,520,418,225,775,321,213,485,285,179,453,228,142,367
10/26/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",244,132,452,292,194,437,,,,252,134,473,,,,229,120,437
10/29/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",318,193,524,,,,402,257,628,326,211,501,271,166,442,,,
